frame,timestamp,wall_clock_time,gesture,confidence,threshold,raw_gesture
311,15.55,21.69545030593872,NoGesture,0.0,0.8,NoGesture
312,15.6,21.77046227455139,NoGesture,0.0,0.8,NoGesture
313,15.65,21.83498239517212,NoGesture,0.0,0.8,NoGesture
314,15.7,21.890982627868652,NoGesture,0.0,0.8,NoGesture
315,15.75,21.951507568359375,NoGesture,0.0,0.8,NoGesture
316,15.8,22.010998964309692,NoGesture,0.0,0.8,NoGesture
317,15.85,22.086645364761353,NoGesture,0.0,0.8,NoGesture
318,15.9,22.1467342376709,NoGesture,0.0,0.8,NoGesture
319,15.95,22.221006631851196,NoGesture,0.0,0.8,NoGesture
320,16.0,22.296786785125732,NoGesture,0.0,0.8,NoGesture
321,16.05,22.357982873916626,NoGesture,0.0,0.8,NoGesture
322,16.1,22.434406995773315,NoGesture,0.0,0.8,NoGesture
323,16.15,22.5101215839386,NoGesture,0.0,0.8,NoGesture
324,16.2,22.586122751235962,NoGesture,0.0,0.8,NoGesture
325,16.25,22.679274082183838,NoGesture,0.0,0.8,NoGesture
326,16.3,22.75253438949585,NoGesture,0.0,0.8,NoGesture
327,16.35,22.827412843704224,NoGesture,0.0,0.8,NoGesture
328,16.4,22.903806447982788,NoGesture,0.0,0.8,NoGesture
329,16.45,22.96468186378479,NoGesture,0.0,0.8,NoGesture
330,16.5,23.02400016784668,NoGesture,0.0,0.8,NoGesture
331,16.55,23.101118564605713,NoGesture,0.0,0.8,NoGesture
332,16.6,23.17675018310547,NoGesture,0.0,0.8,NoGesture
333,16.65,23.237046003341675,NoGesture,0.0,0.8,NoGesture
334,16.7,23.312172651290894,NoGesture,0.0,0.8,NoGesture
335,16.75,23.38767910003662,NoGesture,0.0,0.8,NoGesture
336,16.8,23.44858694076538,NoGesture,0.0,0.8,NoGesture
337,16.85,23.508172512054443,NoGesture,0.0,0.8,NoGesture
338,16.9,23.58607268333435,NoGesture,0.0,0.8,NoGesture
339,16.95,23.64605975151062,NoGesture,0.0,0.8,NoGesture
340,17.0,23.73749589920044,NoGesture,0.0,0.8,NoGesture
341,17.05,23.79812264442444,NoGesture,0.0,0.8,NoGesture
342,17.1,23.858403205871582,NoGesture,0.0,0.8,NoGesture
343,17.15,23.920324087142944,NoGesture,0.0,0.8,NoGesture
344,17.2,23.994832038879395,NoGesture,0.0,0.8,NoGesture
345,17.25,24.07221508026123,NOGESTURE,0.8247475952009339,0.8,NOGESTURE
346,17.3,24.128116607666016,NoGesture,0.0,0.8,NoGesture
347,17.35,24.19111680984497,NoGesture,0.0,0.8,NoGesture
348,17.4,24.251447200775146,NoGesture,0.0,0.8,NoGesture
349,17.45,24.327101945877075,NoGesture,0.0,0.8,NoGesture
350,17.5,24.388036966323853,NoGesture,0.0,0.8,NoGesture
351,17.55,24.44893765449524,NoGesture,0.0,0.8,NoGesture
352,17.6,24.52437424659729,NoGesture,0.0,0.8,NoGesture
353,17.65,24.601266622543335,NoGesture,0.0,0.8,NoGesture
354,17.7,24.692201137542725,NoGesture,0.0,0.8,NoGesture
355,17.75,24.752473831176758,NoGesture,0.0,0.8,NoGesture
356,17.8,24.812150239944458,NoGesture,0.0,0.8,NoGesture
357,17.85,24.87265920639038,NoGesture,0.0,0.8,NoGesture
358,17.9,24.931005716323853,NoGesture,0.0,0.8,NoGesture
359,17.95,25.00727128982544,NoGesture,0.0,0.8,NoGesture
360,18.0,25.069929122924805,GESTURE,0.8008449658641321,0.8,GESTURE
361,18.05,25.161109447479248,GESTURE,0.8763045517280886,0.8,GESTURE
362,18.1,25.2370023727417,GESTURE,0.8762383850243435,0.8,GESTURE
363,18.15,25.311336994171143,GESTURE,0.8483231959896151,0.8,GESTURE
364,18.2,25.386561632156372,NoGesture,0.0,0.8,NoGesture
365,18.25,25.448698043823242,NoGesture,0.0,0.8,NoGesture
366,18.3,25.507996797561646,NoGesture,0.0,0.8,NoGesture
367,18.35,25.569597721099854,NoGesture,0.0,0.8,NoGesture
368,18.4,25.645763397216797,NoGesture,0.0,0.8,NoGesture
369,18.45,25.72177791595459,NoGesture,0.0,0.8,NoGesture
370,18.5,25.785250663757324,NoGesture,0.0,0.8,NoGesture
371,18.55,25.856412410736084,NoGesture,0.0,0.8,NoGesture
372,18.6,25.91842269897461,NoGesture,0.0,0.8,NoGesture
373,18.65,25.99281334877014,NoGesture,0.0,0.8,NoGesture
374,18.7,26.053075075149536,NoGesture,0.0,0.8,NoGesture
375,18.75,26.113079071044922,NoGesture,0.0,0.8,NoGesture
376,18.8,26.20353865623474,NoGesture,0.0,0.8,NoGesture
377,18.85,26.264705419540405,NoGesture,0.0,0.8,NoGesture
378,18.9,26.340730905532837,NoGesture,0.0,0.8,NoGesture
